[03/Jan/2014:16:32:08] (admin) ///// Begin Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) ///// Start Listings Sync sp_52c6e608f3ca4

[03/Jan/2014:16:32:09] (admin) (Step 1) $this->connect()

[03/Jan/2014:16:32:09] (admin) (Step 2) First Time Sync

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Cache Mode = 

[03/Jan/2014:16:32:09] (admin) cache_get_master_properties : Retrieved Master List Load From service->Search (ID=*)

[03/Jan/2014:16:32:09] (admin) Retrieved Master List Results Total:4178

[03/Jan/2014:16:32:09] (admin) Last Update Not Found Syncing All Data. Total Records: 4178

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389113802/12/2013 7:50:24 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386587813/12/2013 8:44:49 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386587721/11/2013 8:39:20 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392480830/12/2013 7:42:53 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392480522/12/2013 9:20:51 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1379668525/11/2013 8:00:43 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378167510/11/2013 3:26:57 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392479718/12/2013 8:53:31 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381534930/11/2013 7:56:15 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1383749918/12/2013 8:14:07 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1368906005/12/2013 9:15:55 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392479018/12/2013 8:53:33 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1383749405/12/2013 10:25:14 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386585320/11/2013 10:11:42 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389952806/12/2013 8:36:04 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392477818/12/2013 8:53:34 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1364694905/12/2013 9:11:10 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389951316/12/2013 8:23:24 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386583221/11/2013 8:11:22 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1363851705/12/2013 9:06:30 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392476223/12/2013 7:46:45 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1341962110/11/2013 2:12:40 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391094010/12/2013 8:06:14 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391093922/12/2013 9:29:11 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381530510/11/2013 12:09:07 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391093113/12/2013 9:04:18 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391092810/12/2013 9:11:49 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391092611/12/2013 9:31:08 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1375636219/12/2013 7:53:58 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392474002/01/2014 8:38:13 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392473828/12/2013 7:34:07 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389948005/12/2013 10:15:11 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1368058419/12/2013 7:44:39 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381528619/11/2013 8:06:38 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1368899905/12/2013 9:21:56 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392473019/12/2013 7:45:56 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392472719/12/2013 7:45:51 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1372313910/11/2013 2:40:59 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1389946605/12/2013 10:12:09 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1368056905/12/2013 8:54:25 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1341957910/11/2013 2:06:55 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1375578510/11/2013 1:37:58 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1379001225/11/2013 8:24:19 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1371423610/11/2013 4:40:30 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384893916/12/2013 8:03:10 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385735405/12/2013 9:09:22 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1314348605/12/2013 9:12:40 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391088611/12/2013 8:22:34 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385735120/11/2013 8:35:12 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1312489705/12/2013 9:26:14 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1368393705/12/2013 11:50:17 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378157625/11/2013 8:44:03 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1341955805/12/2013 11:10:52 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1384892616/12/2013 8:16:08 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385734409/12/2013 7:56:46 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386617608/12/2013 8:37:49 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1343639006/12/2013 12:03:17 AM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378156606/12/2013 12:07:12 AM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378156410/11/2013 2:50:52 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1371420510/11/2013 4:32:50 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1387416412/12/2013 8:45:39 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1359633105/12/2013 9:31:30 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1383737912/11/2013 8:15:29 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386573620/11/2013 10:11:58 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386573507/12/2013 8:22:07 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385731517/11/2013 7:57:25 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386572910/12/2013 7:49:31 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392717219/12/2013 9:07:40 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1387414428/11/2013 9:27:31 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385730505/12/2013 10:25:12 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386572305/12/2013 7:35:34 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1375627418/11/2013 9:24:37 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1376469216/12/2013 9:02:51 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1392716431/12/2013 8:19:21 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1386571821/11/2013 8:29:49 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378994605/12/2013 9:07:12 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378152405/12/2013 9:13:45 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378994110/11/2013 1:35:49 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1381519610/11/2013 11:50:28 AM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1387412326/11/2013 9:53:16 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1368048530/12/2013 7:45:56 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1378151205/12/2013 9:21:10 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1391621313/12/2013 9:03:58 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1375624805/12/2013 11:24:31 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1387411229/11/2013 9:20:37 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1387411105/12/2013 9:17:20 PM

[03/Jan/2014:16:32:09] (admin) Property Not Found:1385726217/11/2013 7:53:55 PM

